stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,location_type,parent_station,wheelchair_boarding,stop_timezone
72442,NE Old Redmond Rd & NE 68th St,47.666435,-122.135536,,,19,,,,America/Los_Angeles
72444,NE Old Redmond Rd & NE 70th St,47.668316,-122.133308,,,19,,,,America/Los_Angeles
72446,NE Old Redmond Rd & West Lake Sammamish Way NE,47.671326,-122.133255,,,19,,,,America/Los_Angeles
72452,NE Redmond Way & 159th Pl NE,47.674213,-122.129784,,,19,,,,America/Los_Angeles
72456,West Lake Sammamish Pkwy NE & Leary Way,47.669899,-122.130836,,,19,,,,America/Los_Angeles
72458,West Lake Sammamish Pkwy NE & Leary Way,47.669819,-122.130348,,,19,,,,America/Los_Angeles
72488,Redmond Way & 166th Ave NE,47.672886,-122.118309,,,19,,,,America/Los_Angeles
72520,Avondale Rd NE & NE 85th Pl,47.678425,-122.104637,,,19,,,,America/Los_Angeles
72521,Cedar Park NE & NE Marketplace Dr,47.693161,-122.044876,,,40,,,,America/Los_Angeles
72522,Cedar Park NE & NE Marketplace Dr,47.693096,-122.045090,,,40,,,,America/Los_Angeles
72523,Cedar Park NE & NE 100th Way,47.687782,-122.041336,,,40,,,,America/Los_Angeles
72524,Cedar Park NE & NE 100th Way,47.687717,-122.041512,,,40,,,,America/Los_Angeles
72525,NE Cedar Park Cres & 228th Way NE,47.685848,-122.034943,,,40,,,,America/Los_Angeles
72526,NE Cedar Park Cres & 228th Way NE,47.685699,-122.035095,,,40,,,,America/Los_Angeles
72527,NE Cedar Park Cres & NE 100th St,47.687359,-122.019997,,,40,,,,America/Los_Angeles
72528,NE Cedar Park Cres & NE 100th St,47.687260,-122.019844,,,40,,,,America/Los_Angeles
72529,NE Cedar Park Cres & Eastridge Dr NE,47.691399,-122.017334,,,40,,,,America/Los_Angeles
72530,NE Cedar Park Cres & Eastridge Dr NE,47.690968,-122.018234,,,40,,,,America/Los_Angeles
72531,Eastridge Dr NE & NE 110th St,47.697075,-122.018974,,,40,,,,America/Los_Angeles
72532,Eastridge Dr NE & NE 112th Pl,47.697884,-122.019287,,,40,,,,America/Los_Angeles
72533,Trilogy Pkwy NE & Muirwood Way NE,47.699028,-122.022949,,,40,,,,America/Los_Angeles
72534,Trilogy Pkwy NE & NE 113th Way,47.699486,-122.023293,,,40,,,,America/Los_Angeles
72540,Avondale Rd NE & 180th Ave NE,47.682552,-122.099487,,,19,,,,America/Los_Angeles
72545,NE Novelty Hill Rd & 208th Ct NE,47.688728,-122.061867,,,40,,,,America/Los_Angeles
72546,NE Novelty Hill Rd & 208th Ave NE,47.688766,-122.062386,,,40,,,,America/Los_Angeles
72550,Avondale Rd NE & NE 95th St,47.685440,-122.095856,,,19,,,,America/Los_Angeles
72552,Avondale Rd NE & NE Novelty Hill Rd,47.687489,-122.093262,,,19,,,,America/Los_Angeles
72560,Avondale Rd NE & NE 104th St,47.692619,-122.092751,,,19,,,,America/Los_Angeles
72580,Avondale Rd NE & NE 116th St,47.702328,-122.092781,,,19,,,,America/Los_Angeles
72842,151st Ave SE & 152nd Pl SE,47.554794,-122.138611,,,19,,,,America/Los_Angeles
72843,151st Ave SE & 152nd Pl SE,47.554401,-122.138710,,,19,,,,America/Los_Angeles
