service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20180605,0,1,0,0,0,0,0,20180605,20180605
20180606,0,0,1,0,0,0,0,20180606,20180606
20180607,0,0,0,1,0,0,0,20180607,20180607
20180608,0,0,0,0,1,0,0,20180608,20180608
20180609,0,0,0,0,0,1,0,20180609,20180609
20180610,0,0,0,0,0,0,1,20180610,20180610
20180611,1,0,0,0,0,0,0,20180611,20180611
20180612,0,1,0,0,0,0,0,20180612,20180612
20180613,0,0,1,0,0,0,0,20180613,20180613
20180614,0,0,0,1,0,0,0,20180614,20180614
20180615,0,0,0,0,1,0,0,20180615,20180615
20180616,0,0,0,0,0,1,0,20180616,20180616
20180617,0,0,0,0,0,0,1,20180617,20180617
20180618,1,0,0,0,0,0,0,20180618,20180618
20180619,0,1,0,0,0,0,0,20180619,20180619
20180620,0,0,1,0,0,0,0,20180620,20180620
20180621,0,0,0,1,0,0,0,20180621,20180621
20180622,0,0,0,0,1,0,0,20180622,20180622
20180623,0,0,0,0,0,1,0,20180623,20180623
weekday_summer,1,1,1,1,1,0,0,20170501,20171231
weekday_winter,1,1,1,1,0,0,1,20180101,20180430
weekend_summer,0,0,0,0,0,1,1,20170501,20171231
weekend_winter,0,0,0,0,0,1,1,20180101,20180430
97-1,1,1,1,1,1,0,0,20180318,20180915
97-2,0,0,0,0,0,1,0,20180318,20180915
97-3,0,0,0,0,0,0,1,20180318,20180915
SCH-1805-SCH-Weekday-60,1,1,1,1,1,0,0,20180507,20181228
10,1,1,1,1,0,0,1,20160425,20171001
11,0,0,0,0,1,1,0,20160425,20171001
12,0,0,0,0,0,1,1,20160425,20171001
13,1,1,1,1,1,0,0,20160425,20160828
14,1,1,1,1,1,0,0,20160829,20170514
15,1,1,1,1,1,0,0,20170515,20171001
16,1,1,1,1,1,0,0,20171001,20171001
17,1,1,1,1,1,0,0,20171001,20181231
18,0,0,0,0,0,1,1,20171001,20181231
19,0,0,0,0,1,1,0,20171001,20181231
20,1,1,1,1,0,0,1,20171001,20181231
4,0,0,0,0,0,1,1,20151109,20160115
5,1,1,1,1,1,0,0,20151216,20160424
6,0,0,0,0,0,1,1,20160116,20160327
7,1,1,1,1,1,0,0,20160328,20160424
8,0,0,0,0,0,1,1,20160328,20160424
9,1,1,1,1,1,0,0,20160425,20171001
99-1,1,1,1,1,1,0,0,20150831,20151108
99-2,0,0,0,0,0,1,1,20150831,20151108
99-3,1,1,1,1,1,0,0,20151109,20160327
