"","Offense Type","Offense Description","Date Reported","Month","Year","Longitude","Latitude"
"77","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.321235657,47.548240662
"78","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.321235657,47.548240662
"79","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.321235657,47.548240662
"80","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.321235657,47.548240662
"81","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.321235657,47.548240662
"82","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.321235657,47.548240662
"83","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.321235657,47.548240662
"84","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.321235657,47.548240662
"85","BURGLARY-FORCE-NONRES","Burglary",NA,2,2018,-122.322982788,47.689315796
"86","BURGLARY-FORCE-NONRES","Burglary",NA,2,2018,-122.322982788,47.689315796
"87","BURGLARY-FORCE-NONRES","Burglary",NA,2,2018,-122.322982788,47.689315796
"88","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"89","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"90","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"91","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"92","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"93","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"94","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"95","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"96","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"97","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"98","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"99","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"100","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"101","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"102","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.289421082,47.555957794
"103","THEFT-OTH","Other property",NA,2,2018,-122.332756042,47.714096069
"104","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.340446472,47.635551453
"105","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.340446472,47.635551453
"106","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.340446472,47.635551453
"107","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.340446472,47.635551453
"108","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.329864502,47.67086792
"109","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.329864502,47.67086792
"110","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.329864502,47.67086792
"111","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.329864502,47.67086792
"112","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.329864502,47.67086792
"113","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.329864502,47.67086792
"114","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.329864502,47.67086792
"115","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.344650269,47.656017303
"116","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.344650269,47.656017303
"117","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.342353821,47.638748169
"118","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.342353821,47.638748169
"119","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.342353821,47.638748169
"120","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.342353821,47.638748169
"121","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344009399,47.651626587
"122","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.344993591,47.725036621
"123","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.344993591,47.725036621
"124","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.338348389,47.609516144
"125","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.338348389,47.609516144
"126","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344993591,47.725036621
"127","THEFT-BUILDING","Other property",NA,2,2018,-122.314872742,47.613624573
"128","THEFT-BUILDING","Other property",NA,2,2018,-122.314872742,47.613624573
"129","ASSLT-NONAGG","Assault",NA,2,2018,-122.335083008,47.616001129
"130","ASSLT-NONAGG","Assault",NA,2,2018,-122.335083008,47.616001129
"131","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.348640442,47.696872711
"132","THEFT-BUILDING","Other property",NA,2,2018,-122.330421448,47.620243073
"133","THEFT-BUILDING","Other property",NA,2,2018,-122.330421448,47.620243073
"134","THEFT-BUILDING","Other property",NA,2,2018,-122.330421448,47.620243073
"135","THEFT-BUILDING","Other property",NA,2,2018,-122.330421448,47.620243073
"136","THEFT-BUILDING","Other property",NA,2,2018,-122.330421448,47.620243073
"137","THEFT-BUILDING","Other property",NA,2,2018,-122.330421448,47.620243073
"138","THEFT-BUILDING","Other property",NA,2,2018,-122.330421448,47.620243073
"139","THEFT-BUILDING","Other property",NA,2,2018,-122.330421448,47.620243073
"140","THEFT-PKPOCKET","Pickpocket",NA,2,2018,-122.317489624,47.614097595
"141","THEFT-PKPOCKET","Pickpocket",NA,2,2018,-122.317489624,47.614097595
"142","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344993591,47.725036621
"143","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344993591,47.725036621
"144","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344993591,47.725036621
"145","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.348861694,47.619743347
"146","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.348861694,47.619743347
"147","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.348861694,47.619743347
"148","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.348861694,47.619743347
"149","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.348861694,47.619743347
"150","ASSLT-NONAGG","Assault",NA,2,2018,-122.330345154,47.599990845
"151","ASSLT-NONAGG","Assault",NA,2,2018,-122.330345154,47.599990845
"152","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.346893311,47.628032684
"153","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.346893311,47.628032684
"154","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344009399,47.651626587
"155","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344009399,47.651626587
"156","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344009399,47.651626587
"157","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344009399,47.651626587
"158","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344009399,47.651626587
"159","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.344009399,47.651626587
"160","THREATS-OTHER","Threats",NA,2,2018,-122.326156616,47.60792923
"161","THREATS-OTHER","Threats",NA,2,2018,-122.326156616,47.60792923
"162","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.346641541,47.616966248
"163","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.346641541,47.616966248
"164","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.346641541,47.616966248
"165","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.346641541,47.616966248
"166","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.346641541,47.616966248
"167","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.346176147,47.616691589
"168","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.346176147,47.616691589
"169","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.323692322,47.679969788
"170","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.323692322,47.679969788
"171","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.323692322,47.679969788
"172","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.323692322,47.679969788
"173","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.323692322,47.679969788
"174","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.323692322,47.679969788
"175","FORGERY-CHECK","Forgery",NA,2,2018,-122.287940979,47.698352814
"176","FORGERY-CHECK","Forgery",NA,2,2018,-122.287940979,47.698352814
"177","FORGERY-CHECK","Forgery",NA,2,2018,-122.287940979,47.698352814
"178","FORGERY-CHECK","Forgery",NA,2,2018,-122.287940979,47.698352814
"179","FORGERY-CHECK","Forgery",NA,2,2018,-122.287940979,47.698352814
"180","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.284927368,47.676692963
"181","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.284927368,47.676692963
"182","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.284927368,47.676692963
"183","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.284927368,47.676692963
"184","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.284927368,47.676692963
"185","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.284927368,47.676692963
"186","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.284927368,47.676692963
"187","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.342140198,47.713405609
"188","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.342140198,47.713405609
"189","ASSLT-AGG-BODYFORCE","Assault",NA,2,2018,-122.384742737,47.669818878
"190","ASSLT-AGG-BODYFORCE","Assault",NA,2,2018,-122.384742737,47.669818878
"191","ASSLT-AGG-BODYFORCE","Assault",NA,2,2018,-122.384742737,47.669818878
"192","ASSLT-AGG-BODYFORCE","Assault",NA,2,2018,-122.384742737,47.669818878
"193","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.340797424,47.608493805
"194","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.340797424,47.608493805
"195","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.340797424,47.608493805
"196","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.340797424,47.608493805
"197","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.340797424,47.608493805
"198","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.340797424,47.608493805
"199","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.340797424,47.608493805
"200","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.340797424,47.608493805
"201","THEFT-OTH","Other property",NA,2,2018,-122.340255737,47.658004761
"202","THEFT-OTH","Other property",NA,2,2018,-122.340255737,47.658004761
"203","THEFT-OTH","Other property",NA,2,2018,-122.309913635,47.68214035
"204","THEFT-OTH","Other property",NA,2,2018,-122.309913635,47.68214035
"205","THEFT-OTH","Other property",NA,2,2018,-122.309913635,47.68214035
"206","THEFT-OTH","Other property",NA,2,2018,-122.309913635,47.68214035
"207","THEFT-OTH","Other property",NA,2,2018,-122.309913635,47.68214035
"208","THEFT-OTH","Other property",NA,2,2018,-122.309913635,47.68214035
"209","THEFT-OTH","Other property",NA,2,2018,-122.309913635,47.68214035
"210","ASSLT-NONAGG","Assault",NA,2,2018,-122.387588501,47.670185089
"211","ASSLT-NONAGG","Assault",NA,2,2018,-122.387588501,47.670185089
"212","ASSLT-NONAGG","Assault",NA,2,2018,-122.387588501,47.670185089
"213","ASSLT-NONAGG","Assault",NA,2,2018,-122.387588501,47.670185089
"214","THEFT-OTH","Other property",NA,2,2018,-122.309913635,47.68214035
"215","THEFT-OTH","Other property",NA,2,2018,-122.309913635,47.68214035
"216","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.320793152,47.614654541
"217","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.320793152,47.614654541
"218","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.320793152,47.614654541
"219","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.320793152,47.614654541
"220","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.320793152,47.614654541
"221","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.320793152,47.614654541
"222","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.320793152,47.614654541
"223","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.320793152,47.614654541
"224","FORGERY-CHECK","Forgery",NA,2,2018,-122.322364807,47.610500336
"225","FORGERY-CHECK","Forgery",NA,2,2018,-122.322364807,47.610500336
"226","FORGERY-CHECK","Forgery",NA,2,2018,-122.322364807,47.610500336
"227","FORGERY-CHECK","Forgery",NA,2,2018,-122.322364807,47.610500336
"228","FORGERY-CHECK","Forgery",NA,2,2018,-122.322364807,47.610500336
"229","FORGERY-CHECK","Forgery",NA,2,2018,-122.322364807,47.610500336
"230","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.325065613,47.596672058
"231","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.325065613,47.596672058
"232","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.37651062,47.541950226
"233","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.37651062,47.541950226
"234","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.37651062,47.541950226
"235","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.37651062,47.541950226
"236","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.37651062,47.541950226
"237","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.37651062,47.541950226
"238","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.37651062,47.541950226
"239","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.37651062,47.541950226
"240","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.37651062,47.541950226
"241","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.375007629,47.639659882
"242","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.375007629,47.639659882
"243","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.329864502,47.67086792
