"","lat","lon","route_id","agency"
"100",47.624668,-122.361153,"Route 32","Metro Transit"
"101",47.628788,-122.371124,"Route 32","Metro Transit"
"102",47.632252,-122.375481,"Route 32","Metro Transit"
"103",47.636963,-122.376099,"Route 32","Metro Transit"
"104",47.640923,-122.376114,"Route 32","Metro Transit"
"105",47.644936,-122.376122,"Route 32","Metro Transit"
"106",47.649097,-122.376045,"Route 32","Metro Transit"
"107",47.654976,-122.372124,"Route 32","Metro Transit"
"108",47.653629,-122.36985,"Route 32","Metro Transit"
"109",47.652119,-122.36689,"Route 32","Metro Transit"
"110",47.651512,-122.364243,"Route 32","Metro Transit"
"111",47.65068,-122.36055,"Route 32","Metro Transit"
"112",47.649792,-122.357918,"Route 32","Metro Transit"
"113",47.648266,-122.354568,"Route 32","Metro Transit"
"114",47.647102,-122.352066,"Route 32","Metro Transit"
"115",47.647102,-122.351685,"Route 32","Metro Transit"
"116",47.648422,-122.354568,"Route 32","Metro Transit"
"117",47.649681,-122.3573,"Route 32","Metro Transit"
"118",47.650986,-122.361244,"Route 32","Metro Transit"
"119",47.651791,-122.364815,"Route 32","Metro Transit"
"120",47.652378,-122.367371,"Route 32","Metro Transit"
"121",47.653969,-122.370102,"Route 32","Metro Transit"
"122",47.654903,-122.371696,"Route 32","Metro Transit"
"123",47.621834,-122.356819,"Route 32","Metro Transit"
"124",47.623188,-122.355309,"Route 32","Metro Transit"
"125",47.624649,-122.356552,"Route 32","Metro Transit"
"126",47.661282,-122.293724,"Route 32","Metro Transit"
"127",47.661049,-122.298904,"Route 32","Metro Transit"
"128",47.655964,-122.320801,"Route 32","Metro Transit"
"129",47.653511,-122.316795,"Route 32","Metro Transit"
"130",47.655628,-122.329376,"Route 32","Metro Transit"
"131",47.655647,-122.331772,"Route 32","Metro Transit"
"132",47.655693,-122.334183,"Route 32","Metro Transit"
"133",47.655716,-122.336098,"Route 32","Metro Transit"
"134",47.654091,-122.336388,"Route 32","Metro Transit"
"135",47.651783,-122.336411,"Route 32","Metro Transit"
"136",47.649273,-122.33667,"Route 32","Metro Transit"
"137",47.649281,-122.339073,"Route 32","Metro Transit"
"138",47.649571,-122.343147,"Route 32","Metro Transit"
"139",47.650215,-122.347343,"Route 32","Metro Transit"
"140",47.649677,-122.349869,"Route 32","Metro Transit"
"141",47.624306,-122.356812,"Route 32","Metro Transit"
"142",47.64986,-122.349678,"Route 32","Metro Transit"
"143",47.650032,-122.347054,"Route 32","Metro Transit"
"144",47.649525,-122.34375,"Route 32","Metro Transit"
"145",47.649143,-122.339073,"Route 32","Metro Transit"
"146",47.64941,-122.336235,"Route 32","Metro Transit"
"147",47.652195,-122.336205,"Route 32","Metro Transit"
"148",47.655579,-122.335701,"Route 32","Metro Transit"
"149",47.655514,-122.332314,"Route 32","Metro Transit"
"150",47.655499,-122.329964,"Route 32","Metro Transit"
"151",47.655479,-122.327538,"Route 32","Metro Transit"
"152",47.66119,-122.28923,"Route 32","Metro Transit"
"153",47.655609,-122.32618,"Route 32","Metro Transit"
"154",47.65443,-122.320747,"Route 32","Metro Transit"
"155",47.652336,-122.306412,"Route 32","Metro Transit"
"156",47.654365,-122.305214,"Route 32","Metro Transit"
"157",47.652149,-122.308495,"Route 32","Metro Transit"
"158",47.655102,-122.310921,"Route 32","Metro Transit"
"159",47.656876,-122.304909,"Route 32","Metro Transit"
"160",47.6563,-122.31546,"Route 32","Metro Transit"
"161",47.662743,-122.285202,"Route 32","Metro Transit"
"162",47.613377,-122.332603,"Route 43","Metro Transit"
"163",47.661205,-122.313477,"Route 43","Metro Transit"
"164",47.65937,-122.312096,"Route 43","Metro Transit"
"165",47.656422,-122.312164,"Route 43","Metro Transit"
"166",47.655048,-122.312195,"Route 43","Metro Transit"
"167",47.618538,-122.320946,"Route 43","Metro Transit"
"168",47.616192,-122.320923,"Route 43","Metro Transit"
"169",47.611767,-122.336456,"Route 43","Metro Transit"
"170",47.615299,-122.327271,"Route 43","Metro Transit"
"171",47.612415,-122.331223,"Route 43","Metro Transit"
"172",47.613579,-122.328445,"Route 43","Metro Transit"
"173",47.618156,-122.320747,"Route 43","Metro Transit"
"174",47.658668,-122.311905,"Route 43","Metro Transit"
"175",47.661346,-122.313889,"Route 43","Metro Transit"
"176",47.610134,-122.336685,"Route 43","Metro Transit"
"177",47.616734,-122.326889,"Route 43","Metro Transit"
"178",47.616509,-122.326691,"Route 43","Metro Transit"
"179",47.599129,-122.328041,"Route 43","Metro Transit"
"180",47.644016,-122.304268,"Route 43","Metro Transit"
"181",47.644924,-122.30439,"Route 43","Metro Transit"
"182",47.652245,-122.311211,"Route 43","Metro Transit"
"183",47.64069,-122.30217,"Route 43","Metro Transit"
"184",47.64296,-122.302948,"Route 43","Metro Transit"
"185",47.649143,-122.30497,"Route 43","Metro Transit"
"186",47.637692,-122.30162,"Route 43","Metro Transit"
"187",47.634998,-122.301674,"Route 43","Metro Transit"
"188",47.632168,-122.301712,"Route 43","Metro Transit"
"189",47.629044,-122.301773,"Route 43","Metro Transit"
"190",47.626583,-122.302498,"Route 43","Metro Transit"
"191",47.624985,-122.302521,"Route 43","Metro Transit"
"192",47.622936,-122.302559,"Route 43","Metro Transit"
"193",47.62117,-122.302589,"Route 43","Metro Transit"
"194",47.620277,-122.303993,"Route 43","Metro Transit"
"195",47.620556,-122.30719,"Route 43","Metro Transit"
"196",47.620564,-122.311264,"Route 43","Metro Transit"
"197",47.620033,-122.313202,"Route 43","Metro Transit"
"198",47.619972,-122.321304,"Route 43","Metro Transit"
"199",47.619152,-122.325119,"Route 43","Metro Transit"
"200",47.619129,-122.324883,"Route 43","Metro Transit"
"201",47.619846,-122.320473,"Route 43","Metro Transit"
"202",47.619892,-122.313042,"Route 43","Metro Transit"
"203",47.620426,-122.31102,"Route 43","Metro Transit"
"204",47.620422,-122.307518,"Route 43","Metro Transit"
"205",47.620144,-122.303177,"Route 43","Metro Transit"
"206",47.619873,-122.316429,"Route 43","Metro Transit"
"207",47.623379,-122.302361,"Route 43","Metro Transit"
"208",47.625336,-122.302315,"Route 43","Metro Transit"
"209",47.627014,-122.302292,"Route 43","Metro Transit"
"210",47.629467,-122.301567,"Route 43","Metro Transit"
"211",47.620003,-122.317535,"Route 43","Metro Transit"
"212",47.632778,-122.301514,"Route 43","Metro Transit"
"213",47.635132,-122.301468,"Route 43","Metro Transit"
"214",47.6381,-122.301483,"Route 43","Metro Transit"
"215",47.640152,-122.301979,"Route 43","Metro Transit"
"216",47.643097,-122.302849,"Route 43","Metro Transit"
"217",47.649727,-122.305817,"Route 43","Metro Transit"
"218",47.652351,-122.311089,"Route 43","Metro Transit"
"219",47.655708,-122.311974,"Route 43","Metro Transit"
"220",47.620602,-122.302399,"Route 43","Metro Transit"
"221",47.601959,-122.31797,"Route 43","Metro Transit"
"222",47.60545,-122.320648,"Route 43","Metro Transit"
"223",47.610157,-122.320663,"Route 43","Metro Transit"
"224",47.612896,-122.320679,"Route 43","Metro Transit"
"225",47.615166,-122.320702,"Route 43","Metro Transit"
"226",47.61414,-122.320885,"Route 43","Metro Transit"
"227",47.612713,-122.320885,"Route 43","Metro Transit"
"228",47.609909,-122.320869,"Route 43","Metro Transit"
"229",47.605385,-122.320854,"Route 43","Metro Transit"
"230",47.601864,-122.318123,"Route 43","Metro Transit"
"231",47.60825,-122.336548,"Route 43","Metro Transit"
"232",47.604996,-122.333572,"Route 43","Metro Transit"
"233",47.602234,-122.331047,"Route 43","Metro Transit"
"234",47.600239,-122.330376,"Route 43","Metro Transit"
"235",47.661205,-122.313477,"Route 44","Metro Transit"
"236",47.65937,-122.312096,"Route 44","Metro Transit"
"237",47.656422,-122.312164,"Route 44","Metro Transit"
"238",47.655048,-122.312195,"Route 44","Metro Transit"
"239",47.658668,-122.311905,"Route 44","Metro Transit"
"240",47.661346,-122.313889,"Route 44","Metro Transit"
"241",47.661461,-122.335556,"Route 44","Metro Transit"
"242",47.661316,-122.335632,"Route 44","Metro Transit"
"243",47.667934,-122.398415,"Route 44","Metro Transit"
"244",47.667667,-122.396339,"Route 44","Metro Transit"
"245",47.668591,-122.392502,"Route 44","Metro Transit"
"246",47.668613,-122.385468,"Route 44","Metro Transit"
"247",47.668747,-122.386368,"Route 44","Metro Transit"
"248",47.668724,-122.392639,"Route 44","Metro Transit"
"249",47.668709,-122.396057,"Route 44","Metro Transit"
"250",47.650547,-122.304283,"Route 44","Metro Transit"
"251",47.661995,-122.346962,"Route 44","Metro Transit"
"252",47.668606,-122.381287,"Route 44","Metro Transit"
"253",47.668598,-122.375847,"Route 44","Metro Transit"
"254",47.668594,-122.370453,"Route 44","Metro Transit"
"255",47.668598,-122.36554,"Route 44","Metro Transit"
"256",47.668613,-122.363037,"Route 44","Metro Transit"
"257",47.664814,-122.359512,"Route 44","Metro Transit"
"258",47.663364,-122.357872,"Route 44","Metro Transit"
"259",47.662067,-122.353638,"Route 44","Metro Transit"
"260",47.662075,-122.34977,"Route 44","Metro Transit"
"261",47.661316,-122.34166,"Route 44","Metro Transit"
"262",47.661316,-122.338692,"Route 44","Metro Transit"
"263",47.661308,-122.331032,"Route 44","Metro Transit"
"264",47.661278,-122.326347,"Route 44","Metro Transit"
"265",47.652245,-122.311211,"Route 44","Metro Transit"
"266",47.65049,-122.306839,"Route 44","Metro Transit"
"267",47.650509,-122.305923,"Route 44","Metro Transit"
"268",47.649727,-122.305817,"Route 44","Metro Transit"
"269",47.652351,-122.311089,"Route 44","Metro Transit"
"270",47.655708,-122.311974,"Route 44","Metro Transit"
"271",47.661255,-122.321152,"Route 44","Metro Transit"
"272",47.661373,-122.318214,"Route 44","Metro Transit"
"273",47.661392,-122.321304,"Route 44","Metro Transit"
"274",47.661415,-122.325386,"Route 44","Metro Transit"
"275",47.661442,-122.331238,"Route 44","Metro Transit"
"276",47.661461,-122.339653,"Route 44","Metro Transit"
"277",47.661461,-122.34256,"Route 44","Metro Transit"
"278",47.662209,-122.345398,"Route 44","Metro Transit"
"279",47.662212,-122.350441,"Route 44","Metro Transit"
"280",47.662212,-122.354324,"Route 44","Metro Transit"
"281",47.663639,-122.357941,"Route 44","Metro Transit"
"282",47.665184,-122.359619,"Route 44","Metro Transit"
"283",47.667763,-122.361328,"Route 44","Metro Transit"
"284",47.668751,-122.363228,"Route 44","Metro Transit"
"285",47.668735,-122.366493,"Route 44","Metro Transit"
"286",47.668735,-122.371284,"Route 44","Metro Transit"
"287",47.668735,-122.376617,"Route 44","Metro Transit"
"288",47.668739,-122.382423,"Route 44","Metro Transit"
